chr	length	centromere
1A	594102056	213000000
1B	689851870	240600000
1D	495453186	170000000
2A	780798557	326650000
2B	801256715	347850000
2D	651852609	268450000
3A	750843639	318400000
3B	830829764	348750000
3D	615552423	240150000
4A	744588157	266000000
4B	673617499	304150000
4D	509857067	185250000
5A	709773743	253800000
5B	713149757	200700000
5D	566080677	187150000
6A	618079260	286000000
6B	720988478	325250000
6D	473592718	214650000
7A	736706236	362000000
7B	750620385	309050000
7D	638686055	339000000
